country,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10
Japan,0.4129224509297631,-0.46189791161045407,-0.22263259650900283,0.8775189800889822,0.2962894211187092,-0.2887374959346191,0.19101221444873323,-2.403470701102406e-07,1.7295560146777115e-06,-2.0622209367115409e-16
Kazakhstan,1.4410207772571904,-0.11107873454577598,-1.7630408361084524,1.7390003578095425,-0.01787956215375956,-0.18744331620173887,-0.032268257358648626,1.1388570588498859e-05,-2.6514610762291068e-05,-1.2609467271412886e-16
Kuwait,1.2866021555913245,2.6044932051236933,1.4468159430584915,0.6574581753733612,1.0232534532409734,-0.05394234617113812,0.6627472033487702,-5.3276980678133944e-06,3.165996111347675e-05,-1.371707660078935e-16
Latvia,-0.4781846473780248,-0.9735880882401023,1.2844544837909562,-0.5034653283728423,-0.7631076997288191,0.0037666586703972633,-0.08594229065796084,-2.318256950187696e-06,-1.6622589993993942e-06,1.551683156730114e-17
Lithuania,0.6817520991278878,-0.8164833280568775,1.4300804940571648,-0.26506151669466643,-0.1791030749422818,0.024600936251713557,0.17300404527394922,-8.366901148290613e-07,-1.148238827254844e-06,-1.6809001215166723e-16
Luxembourg,0.5604357309013103,-0.09597642903979621,2.4121486579672684,0.44311881771102796,0.7618361424154145,0.3620511991946999,0.2655060304091305,-5.326165077823773e-07,-1.6487178885195711e-06,1.9807020762517107e-16
Malaysia,1.260156844628569,0.3027998694964226,-0.44400228871289543,0.36505415123113233,-0.3136221831343578,-0.12385177914053473,0.03655932491457402,-5.7719371750558e-06,3.079587271580085e-05,5.871241363874362e-17
Mexico,1.2697217688209912,-0.26099508699033913,0.569815916635163,-0.7383554990163855,-0.4209406762195596,-0.019076527594825615,0.18964323988691945,8.043920838502159e-06,-3.053861707723283e-05,-5.069263324569507e-17
Morocco,1.391803015377208,-2.0878602359260983,0.6067296156804759,1.178009302962236,0.3531474498589322,0.6841452401870847,0.11678802088680586,3.696315757340057e-08,1.8958859977504012e-06,-4.732254431923493e-17
Netherlands,0.40202701359288423,0.030278819322905173,0.9231954322899998,0.006017231225617426,0.04708851833005308,-0.1490113943509968,-0.1641519467831009,-7.62111100453975e-06,2.6099971707662303e-05,-2.315529540204589e-16
New Zealand,-2.4242380392594023,-0.287961185320377,0.5574672190769709,-0.005394407690463438,-1.253603985078416,-0.14868373365434656,-0.41519473728915285,-3.4513389206132307e-06,-6.915964825366042e-07,6.546954078117993e-17
North Macedonia,0.6636302344653007,-1.3747632163173946,-0.05649801873014904,1.12273426844391,-0.08527612091289044,0.29178300236283816,0.10657207675374951,-1.2057893658513048e-07,3.210000235926757e-06,1.226625784368995e-16
Norway,-5.907960443446926,1.1111368147501892,0.687166617971354,0.7737861683773537,-1.443763705562115,-1.2325702296540875,-0.2340556098013318,1.1270092988975526e-06,-2.7454012758124064e-05,1.5196506397250604e-16
Oman,1.818865024019274,2.7940702520479133,-0.11519887501963785,-0.3478144872451096,-0.10819144151672089,-0.23539317124092995,-0.15773047654738998,5.0145777881693335e-06,-3.881783825048687e-06,1.7115562759100896e-16
Pakistan,0.8076595912817834,-0.9207344344133773,-0.8152293710477161,-0.8447727617869176,-0.40986910072157196,-0.5392205350291391,0.063321103478219,4.2100027345895805e-05,2.154042939150337e-05,1.4125053778725473e-16
Peru,-0.25372052482811697,-0.8296002067192915,0.5614587450218612,-0.7447380879599964,-1.186204978042118,0.023182847204844436,-0.12000161590989307,-1.817053533195383e-06,-5.293743581692572e-07,-4.236932699148969e-17
Philippines,0.8060493772766256,-2.161841683502752,-0.31379896554172454,1.1655129303628462,-0.17019483880026928,-0.02319819751873051,-0.08044880312638955,1.0042955231797324e-07,1.1750053646419726e-06,8.10330502819422e-17
Poland,0.963042082003953,-1.0267905056188393,-0.8806262328380814,1.4915427253245424,0.005688492254123606,-0.3102331956112893,-0.08739822150129842,1.8135322510217407e-06,1.2466123918873642e-06,-3.703434972760907e-16
Portugal,-0.7609880853251841,-0.7288869835153329,1.2233378185107262,-0.44108632350703575,-0.8136651014596475,0.012154964975518988,-0.053315726327445336,5.3641626022946945e-06,-3.078339611882598e-05,5.265491529281665e-17
Qatar,1.136371888999979,4.339666016948982,0.7616502952469151,0.692101706242869,1.3537830725549302,-2.112338893497139,-1.0410664066338928,8.787437754882006e-06,-1.9212385435371155e-05,1.2475820286468639e-16
Romania,-0.2982052508670487,-0.9911527824549408,-0.2890444138698551,-0.7830548716807154,-0.07764103658740078,-0.3434044683760266,-0.09365896500795177,-4.675580520893579e-05,-2.4852076469457846e-05,-2.8772596544950796e-16
Russia,0.7498441431092849,1.636276625976774,-1.1529831638117647,-0.3945665495576929,0.08753607031542135,0.08891247289063688,0.06703903987971706,-4.2857442418092876e-05,-2.1519166685957827e-05,-9.120004574905387e-17
Saudi Arabia,1.5085162742560234,1.660529915369313,1.9083604274495645,0.5141510835016497,1.12752249701395,0.14406434655149475,0.11023256539436525,2.9868247160301423e-06,-4.364159980249516e-06,1.4746736228165532e-16
Singapore,1.2483167387457668,1.7382913215082367,3.2045091496624574,1.3203538103577763,2.2243027210996584,0.9667109887128185,-1.1867382409181968,5.136718882458284e-06,-1.734605215977872e-05,-1.5737920312807865e-16
