country,iso_code,year,energy_per_capita,energy_per_gdp,fossil_share_energy,renewables_share_energy,nuclear_share_energy,coal_share_energy,oil_share_energy,gas_share_energy,low_carbon_share_energy,electricity_demand_per_capita
Italy,ITA,2022,-0.34911352000191587,-0.6478713511275597,0.20834707035179845,0.021722400629033693,-0.5460672382030854,-0.5293959411600162,0.1951362058192978,0.4407999493470259,-0.20834707035179767,-0.20692765812423788
Japan,JPN,2022,-0.06977226526025314,-0.3798786754557724,0.3374410020546099,-0.28967062817942557,-0.19142774446414768,0.8506261277576752,-0.0030223531869624266,-0.37949385828940385,-0.3374410020546098,0.21459233460286606
Kazakhstan,KAZ,2022,-0.045408879321866255,0.3109468884981684,0.8986185584729163,-0.7543908060488771,-0.5460672382030854,2.102252692060237,-1.1055512618295777,-0.09485470505856314,-0.8986185584729162,-0.16133087112893904
Kuwait,KWT,2022,1.5785470039258334,0.9219701890298436,1.123897861471294,-1.0076856983587807,-0.5460672382030854,-0.8246994789562816,0.9726086093189098,0.8623049133449784,-1.123897861471294,1.7035345535414528
Latvia,LVA,2022,-0.5870752553025946,-0.7312468502254491,-0.40912144465785083,0.7159789032570244,-0.5460672382030854,-0.8059024260631749,0.8432715857759014,-0.3185065288900601,0.40912144465785133,-0.4272952928290531
Lithuania,LTU,2022,-0.5174702992878821,-0.7133806718473299,0.2989322129464812,-0.08012785207066878,-0.5460672382030854,-0.629932621454743,1.2294368680974828,-0.15100478127071168,-0.29893221294648115,-0.34392062892356245
Luxembourg,LUX,2022,0.44614400277419963,-0.3465284758166166,0.49216897028517215,-0.2973954083395687,-0.5460672382030854,-0.7577158442166766,2.184039028100694,-0.5800501693545863,-0.49216897028517165,0.4992448991442669
Malaysia,MYS,2022,-0.09381191030176253,0.21327844669778356,0.6770342517307911,-0.5052504173545127,-0.5460672382030854,0.41443653554108917,-0.3611052848310092,0.49495821542327023,-0.6770342517307907,-0.23124765712617074
Mexico,MEX,2022,-0.6564597417504481,-0.28101915509684644,0.5283683867331429,-0.41372150957466536,-0.38474158017658705,-0.6508726608340345,0.46303919444253183,0.6049820134065342,-0.5283683867331427,-0.6100799682307209
Morocco,MAR,2022,-0.9406328373362407,-0.6073746801371562,0.7472969149160872,-0.5842509001687497,-0.5460672382030854,1.1578079335059366,1.3998426814811091,-1.2899882106517677,-0.747296914916087,-0.8271781249505117
Netherlands,NLD,2022,0.28339939555348354,-0.33461769023120386,0.2346739186775949,-0.07785585790592078,-0.39678907566869465,-0.4166748519866957,0.649002366417469,0.048650472828228535,-0.23467391867759485,-0.0558232621459763
New Zealand,NZL,2022,0.07273999491490238,-0.24528679834060813,-1.3703400801319643,1.7967340703681434,-0.5460672382030854,-0.49816956664703765,-0.21581537663081082,-0.5845080301349427,1.370340080131965,0.2295753012786766
